latitude,longitude,proposed_20,proposed_30
55.7999992370605,-6.40000009536743,0.0,0.0
55.7999992370605,-6.30000019073486,0.0,0.0
55.7000007629395,-6.19999980926514,0.0,0.0
55.7999992370605,-6.19999980926514,0.0,0.0
55.9000015258789,-6.0,0.0,0.0
55.9000015258789,-5.90000009536743,0.0,0.0
56.0,-5.90000009536743,0.0,0.0
50.0999984741211,-5.69999980926514,0.0,0.0
55.5,-5.69999980926514,0.0,0.0
50.0999984741211,-5.59999990463257,0.0,0.0
55.4000015258789,-5.59999990463257,0.0,0.0
55.5,-5.59999990463257,0.0,0.0
55.5999984741211,-5.59999990463257,0.0,0.0
55.9000015258789,-5.59999990463257,0.0,0.0
56.0,-5.59999990463257,0.0,0.0
55.7000007629395,-5.5,0.0,0.0
55.7999992370605,-5.5,0.0,0.0
55.9000015258789,-5.5,0.0,0.0
56.0,-5.5,0.0,0.0
50.2000007629395,-5.40000009536743,0.0,0.0
55.7999992370605,-5.40000009536743,0.0,0.0
55.9000015258789,-5.40000009536743,0.0,0.0
56.0,-5.40000009536743,0.0,0.0
50.2000007629395,-5.30000019073486,0.0,0.0
55.5,-5.30000019073486,0.0,0.0
55.5999984741211,-5.30000019073486,0.0,0.0
55.9000015258789,-5.30000019073486,0.0,0.0
56.0,-5.30000019073486,0.0,0.0
50.0,-5.19999980926514,0.0,0.0
50.0999984741211,-5.19999980926514,0.0,0.0
50.2000007629395,-5.19999980926514,0.0,0.0
50.2999992370605,-5.19999980926514,0.0,0.0
51.9000015258789,-5.19999980926514,0.0,0.0
55.5,-5.19999980926514,0.0,0.0
55.5999984741211,-5.19999980926514,0.0,0.0
55.9000015258789,-5.19999980926514,0.0,0.0
56.0,-5.19999980926514,0.0,0.0
50.2000007629395,-5.09999990463257,0.0,0.0
50.2999992370605,-5.09999990463257,0.0,0.0
51.7999992370605,-5.09999990463257,0.0,0.0
51.9000015258789,-5.09999990463257,0.0,0.0
55.0,-5.09999990463257,0.0,0.0
55.9000015258789,-5.09999990463257,0.0,0.0
56.0,-5.09999990463257,0.0,0.0
50.2999992370605,-5.0,0.0,0.0
50.4000015258789,-5.0,0.0,0.0
50.5,-5.0,0.0,0.0
51.7000007629395,-5.0,0.0,0.0
51.7999992370605,-5.0,0.0,1.0
51.9000015258789,-5.0,0.0,0.0
52.0,-5.0,0.0,0.0
54.7999992370605,-5.0,0.0,0.0
54.9000015258789,-5.0,0.0,0.0
55.0,-5.0,0.0,0.0
55.9000015258789,-5.0,0.0,0.0
56.0,-5.0,0.0,0.0
50.2000007629395,-4.90000009536743,0.0,0.0
50.2999992370605,-4.90000009536743,0.0,0.0
50.4000015258789,-4.90000009536743,0.0,0.0
50.5,-4.90000009536743,0.0,0.0
51.7000007629395,-4.90000009536743,0.0,0.0
51.7999992370605,-4.90000009536743,0.0,0.0
51.9000015258789,-4.90000009536743,0.0,0.0
52.0,-4.90000009536743,1.0,0.0
54.9000015258789,-4.90000009536743,0.0,0.0
55.0,-4.90000009536743,0.0,0.0
55.0999984741211,-4.90000009536743,0.0,0.0
55.2000007629395,-4.90000009536743,0.0,0.0
55.9000015258789,-4.90000009536743,0.0,0.0
56.0,-4.90000009536743,0.0,0.0
50.4000015258789,-4.80000019073486,0.0,0.0
50.5,-4.80000019073486,0.0,0.0
50.5999984741211,-4.80000019073486,0.0,0.0
51.7000007629395,-4.80000019073486,0.0,0.0
51.7999992370605,-4.80000019073486,0.0,0.0
51.9000015258789,-4.80000019073486,0.0,0.0
52.0,-4.80000019073486,0.0,0.0
54.9000015258789,-4.80000019073486,0.0,0.0
55.0,-4.80000019073486,0.0,0.0
55.0999984741211,-4.80000019073486,0.0,0.0
55.2000007629395,-4.80000019073486,0.0,0.0
55.7000007629395,-4.80000019073486,0.0,0.0
55.7999992370605,-4.80000019073486,0.0,0.0
55.9000015258789,-4.80000019073486,0.0,0.0
50.4000015258789,-4.69999980926514,0.0,0.0
50.5,-4.69999980926514,0.0,0.0
51.7000007629395,-4.69999980926514,0.0,0.0
51.7999992370605,-4.69999980926514,0.0,0.0
51.9000015258789,-4.69999980926514,0.0,0.0
52.0,-4.69999980926514,0.0,0.0
52.0999984741211,-4.69999980926514,0.0,0.0
